Image,F1,Jaccard,Recall,Precision,,,
11.png,0.9629392971246007,0.9285274183610598,0.977302205,0.948992443,,,
2980.png,0.6619718309859154,0.49473684210526314,0.8834586466165414,0.5292792792792793,,,
3011.png,0.7773851590106007,0.6358381502890174,0.8270676691729323,0.7333333333333333,,,
717.png,0.32576148683531236,0.19457292630280604,0.19457292630280604,1,,,
277.png,0.9784576959100844,0.9578239608801956,0.9880201765447667,0.969078541,,,
2979.png,0.7806149035956227,0.6401709401709401,0.9292803970223326,0.6729559748427673,,,
2275.png,0.9242610837438423,0.859187178,0.95,0.8998800959232613,,,
1866.png,0.5212355212355213,0.3524804177545692,0.3524804177545692,1,,,
1344.png,0.9505582137161086,0.9057750759878419,0.9675324675324676,0.9341692789968652,,,
2137.png,0.7535864978902953,0.6046039268788084,0.7652099400171379,0.742310889,,,
2072.png,0.5502581232918312,0.37955592794302473,0.7475247524752475,0.43536761172513216,,,
1137.png,0.9158878504672897,0.8448275862068966,0.8641975308641975,0.97415507,,,
1906.png,0.8709829867674859,0.7714524905818334,0.9588969823100937,0.7978354978354978,,,
1495.png,0.9597197898423819,0.9225589225589226,0.9647887323943662,0.9547038327526133,,,
694.png,0.8466917697686929,0.7341417910447762,0.8963553530751709,0.8022426095820592,,,
336.png,0.9646954986760812,0.9317988064791134,0.9706927175843695,0.9587719298245614,,,
1560.png,0.9443254817987152,0.8945233265720081,0.9910112359550561,0.901840491,,,
1546.png,0.9260700389105058,0.8623188405797102,0.9855072463768116,0.8733944954128441,,,
1969.png,0.7457180500658762,0.5945378151260504,0.9941451990632318,0.5966268446943078,,,
2459.png,0.9285602626231046,0.8666472133060986,0.9540636042402827,0.9043848964677222,,,
587.png,0.9805825242718447,0.9619047619047619,0.9833101529902643,0.9778699861687413,,,
2662.png,0.7074494326591021,0.5473282442748092,0.5722266560255387,0.9263565891472868,,,
2930.png,0.6774082961947206,0.512182478,1,0.512182478,,,
943.png,0.6906222611744084,0.5274431057563588,0.9563106796116505,0.5404663923182441,,,
1794.png,0.8982035928143713,0.8152173913043478,0.847457627,0.9554140127388535,,,
3043.png,0.3878013599835154,0.24054192229038854,0.9252704031465093,0.24530761209593327,,,
2380.png,0.9210662525879917,0.8536819381146558,0.915616156,0.9265816193699558,,,
126.png,0.9033280507131537,0.8236994219653179,0.9895833333333334,0.8309037900874635,,,
1147.png,0.9380902413431269,0.883399209,0.9824175824175824,0.8975903614457831,,,
1883.png,0.873927393,0.776084408,0.8162762022194822,0.9403409090909091,,,
2176.png,0,0,0,0,,,
2304.png,0.8028169014084507,0.6705882352941176,0.6736703873933026,0.9932236205227493,,,
369.png,0.9062119366626066,0.8285077951002228,0.8340807174887892,0.992,,,
2228.png,0.7597503900156007,0.6125786163522012,0.6493333333333333,0.9154135338345865,,,
2114.png,0.9234057712860705,0.8577101257445401,0.9766390354182366,0.8756756756756757,,,
451.png,0.9663608562691133,0.9349112426035503,0.948,0.9854469854469855,,,
1916.png,0.613321209,0.4422950819672131,0.4422950819672131,1,,,
2349.png,0.6963350785340314,0.5341365461847389,0.5341365461847389,1,,,
2530.png,0.5185185185185186,0.35,0.6453900709219859,0.43333333333333335,,,
1419.png,0.9310872894333844,0.8710601719197708,0.990228013,0.8786127167630058,,,
86.png,0.8837668752057951,0.791740413,0.9710564399421129,0.8108761329305136,,,
2725.png,0.850131819,0.7393298059964727,0.9344627730717788,0.7797619047619048,,,
1013.png,0.8941548183254344,0.8085714285714286,0.9433333333333334,0.8498498498498499,,,
777.png,0.8388838883888388,0.7224806201550388,0.7269890795631825,0.9914893617021276,,,
2995.png,0.6946061311602639,0.5321046373365041,0.7408940397350994,0.6537618699780862,,,
2992.png,0.9403973509933774,0.8875,0.9389623601220752,0.9418367346938775,,,
1968.png,0.8572379367720465,0.7501456027955736,0.8779822767552828,0.8374512353706112,,,
1191.png,0.8982229402261712,0.8152492668621701,0.9439728353140917,0.8567026194144838,,,
2956.png,0.45657826313052524,0.29582210242587603,0.29742547425474253,0.9821029082774049,,,
2187.png,0.8683660676974508,0.7673559822747416,0.9952107279693486,0.7702001482579689,,,
2248.png,0.8527131782945736,0.7432432432432432,0.7432432432432432,1,,,
1452.png,0.9133858267716535,0.8405797101449275,0.9373737373737374,0.8905950095969289,,,
2525.png,0.8772744870305846,0.7813793103448275,0.8110236220472441,0.9553119730185498,,,
1108.png,0.5837004405286343,0.4121306376360809,0.6592039800995025,0.5237154150197628,,,
2787.png,0.8215716486902928,0.6971757322175732,0.833125,0.8103343465045593,,,
602.png,0.9444683598794662,0.8947797716150081,0.8984438984438985,0.9954627949183303,,,
227.png,0.8379705400981996,0.7211267605633803,0.9446494464944649,0.7529411764705882,,,
1567.png,0.7934272300469483,0.6575875486381323,0.9883040935672515,0.6627450980392157,,,
1076.png,0,0,0,0,,,
2565.png,0.9123840376969519,0.8388843758461955,0.8961527335840324,0.9292141571685663,,,
1075.png,0,0,0,0,,,
824.png,0.33617539585870887,0.2020497803806735,0.2020497803806735,1,,,
2543.png,0.8954882924043404,0.8107549120992761,1,0.8107549120992761,,,
460.png,0.9679539852095317,0.9378980891719745,0.9624183006535948,0.9735537190082645,,,
1751.png,0.9345794392523366,0.8771929824561403,0.9615384615384616,0.9090909090909091,,,
1390.png,0.9356643356643357,0.8791064388961892,0.9004037685060565,0.9737991266375546,,,
754.png,0.6533604887983707,0.485178463,0.4923265807243708,0.9709443099273608,,,
117.png,0.5584449697924875,0.38739067055393583,0.40464408070041874,0.9008474576271186,,,
